order_item_id,order_id,order_date,order_status,payment_method,shipping_method,promo_code,customer_id,customer_name,gender,age_group,loyalty_tier,store_id,store_name,city,state,region,latitude,longitude,product_id,product_name,brand,category,subcategory,quantity,unit_price,discount_pct,sales,cost,profit,returned,return_date
12,4,2025-08-24,Completed,Debit Card,Express,NONE,425,Meera Reddy,Female,55+,Standard,1,Delhi Connaught Place,Delhi,Delhi,North,28.6315,77.2167,75,ActivePro Rain Jacket 3,ActivePro,Sports,Outdoor,1,4615.18,0.05,4384.42,3008.96,1375.46,False,
13,5,2024-11-03,Completed,Net Banking,Standard,WELCOME5,3,Sneha Malhotra,Female,45-54,Silver,13,Mumbai Bandra,Mumbai,Maharashtra,West,19.0596,72.8295,37,Aurelia Polo Shirt 1,Aurelia,Fashion,Menswear,1,403.69,0.2,322.95,294.42,28.53,False,
14,5,2024-11-03,Completed,Net Banking,Standard,WELCOME5,3,Sneha Malhotra,Female,45-54,Silver,13,Mumbai Bandra,Mumbai,Maharashtra,West,19.0596,72.8295,64,VivaBeauty Kajal 4,VivaBeauty,Beauty,Makeup,4,1283.24,0.15000000000000002,4363.02,2655.56,1707.46,False,
15,6,2025-05-02,Returned,Debit Card,Store Pickup,WELCOME5,265,Vikram Verma,Male,35-44,Gold,11,Guwahati GS Road,Guwahati,Assam,East,26.1445,91.7362,3,NovaTech Smartphone 3,NovaTech,Technology,Phones,2,2394.95,0.05,4550.4,2747.9,1802.5,True,2025-05-07
16,6,2025-05-02,Returned,Debit Card,Store Pickup,WELCOME5,265,Vikram Verma,Male,35-44,Gold,11,Guwahati GS Road,Guwahati,Assam,East,26.1445,91.7362,89,TastyCo Juice 5,TastyCo,Grocery,Beverages,1,387.17,0.1,348.45,293.03,55.42,True,2025-05-14
17,6,2025-05-02,Returned,Debit Card,Store Pickup,WELCOME5,265,Vikram Verma,Male,35-44,Gold,11,Guwahati GS Road,Guwahati,Assam,East,26.1445,91.7362,46,NorthThread Jeans 4,NorthThread,Fashion,Womenswear,1,3772.09,0.05,3583.49,1937.23,1646.26,True,2025-05-19
18,7,2024-04-06,Completed,Debit Card,Express,NONE,644,Reyansh Das,Male,35-44,Gold,13,Mumbai Bandra,Mumbai,Maharashtra,West,19.0596,72.8295,88,SipWell Energy Drink 4,SipWell,Grocery,Beverages,2,47.21,0,94.42,74.94,19.48,False,
19,7,2024-04-06,Completed,Debit Card,Express,NONE,644,Reyansh Das,Male,35-44,Gold,13,Mumbai Bandra,Mumbai,Maharashtra,West,19.0596,72.8295,69,ActivePro Dumbbell Set 3,ActivePro,Sports,Fitness,1,3337.24,0.15,2836.65,2708.01,128.64,True,2024-04-23
20,7,2024-04-06,Completed,Debit Card,Express,NONE,644,Reyansh Das,Male,35-44,Gold,13,Mumbai Bandra,Mumbai,Maharashtra,West,19.0596,72.8295,63,VivaBeauty Kajal 3,VivaBeauty,Beauty,Makeup,1,850.58,0.2,680.46,696.87,-16.41,False,
21,8,2024-07-11,Completed,Wallet,Store Pickup,FESTIVE10,516,Vikram Verma,Female,45-54,Gold,13,Mumbai Bandra,Mumbai,Maharashtra,West,19.0596,72.8295,71,FitMax Yoga Mat 5,FitMax,Sports,Fitness,2,3251.16,0.2,5201.86,5256.74,-54.88,False,
22,8,2024-07-11,Completed,Wallet,Store Pickup,FESTIVE10,516,Vikram Verma,Female,45-54,Gold,13,Mumbai Bandra,Mumbai,Maharashtra,West,19.0596,72.8295,17,ByteWave Bluetooth Speaker 5,ByteWave,Technology,Accessories,3,7492.52,0.15000000000000002,19105.93,13049.28,6056.65,False,
23,8,2024-07-11,Completed,Wallet,Store Pickup,FESTIVE10,516,Vikram Verma,Female,45-54,Gold,13,Mumbai Bandra,Mumbai,Maharashtra,West,19.0596,72.8295,57,LuxeLook Moisturizer 3,LuxeLook,Beauty,Skincare,2,1242.57,0.15000000000000002,2112.37,1805.24,307.13,False,
24,9,2025-12-11,Completed,Credit Card,Standard,NONE,122,Amit Mehta,Male,18-24,Platinum,9,Kolkata Park Street,Kolkata,West Bengal,East,22.5531,88.3525,11,ZenMobile Ultrabook 5,ZenMobile,Technology,Laptops,1,2526.19,0,2526.19,1849.12,677.07,False,
25,10,2024-02-03,Completed,UPI,Express,NONE,44,Nisha Mehta,Male,45-54,Standard,17,Indore Vijay Nagar,Indore,Madhya Pradesh,Central,22.7533,75.8937,33,UrbanNest Mirror 3,UrbanNest,Home,Decor,1,1317.04,0,1317.04,901.36,415.68,True,2024-02-07
26,11,2024-07-23,Completed,UPI,Standard,NONE,617,Amit Joshi,Male,18-24,Platinum,1,Delhi Connaught Place,Delhi,Delhi,North,28.6315,77.2167,36,Decora Cushion Set 6,Decora,Home,Decor,3,293.04,0,879.12,449.67,429.45,False,
27,11,2024-07-23,Completed,UPI,Standard,NONE,617,Amit Joshi,Male,18-24,Platinum,1,Delhi Connaught Place,Delhi,Delhi,North,28.6315,77.2167,79,NatureBox Breakfast Cereal 1,NatureBox,Grocery,Packaged Food,1,592.64,0.05,563.01,372.1,190.91,False,
28,11,2024-07-23,Completed,UPI,Standard,NONE,617,Amit Joshi,Male,18-24,Platinum,1,Delhi Connaught Place,Delhi,Delhi,North,28.6315,77.2167,2,NovaTech Foldable Phone 2,NovaTech,Technology,Phones,1,939.67,0.1,845.7,656.49,189.21,False,
29,12,2024-04-11,Completed,Wallet,Express,CLEARANCE15,551,Ravi Chopra,Male,18-24,Standard,9,Kolkata Park Street,Kolkata,West Bengal,East,22.5531,88.3525,76,TrailGo Water Bottle 4,TrailGo,Sports,Outdoor,1,4811.93,0.15000000000000002,4090.14,3615.43,474.71,False,
30,13,2025-06-10,Completed,Debit Card,Standard,NONE,389,Avni Kapoor,Female,25-34,Platinum,14,Pune Koregaon Park,Pune,Maharashtra,West,18.5362,73.8937,67,TrailGo Resistance Bands 1,TrailGo,Sports,Fitness,1,2466.15,0.1,2219.54,1565.77,653.77,False,
31,13,2025-06-10,Completed,Debit Card,Standard,NONE,389,Avni Kapoor,Female,25-34,Platinum,14,Pune Koregaon Park,Pune,Maharashtra,West,18.5362,73.8937,6,ApexDigital Budget Phone 6,ApexDigital,Technology,Phones,1,4873.19,0.05,4629.53,2632.69,1996.84,False,
32,14,2025-03-30,Completed,Net Banking,Standard,NONE,320,Avni Gupta,Male,45-54,Silver,19,Nagpur Civil Lines,Nagpur,Maharashtra,Central,21.1458,79.0882,61,VivaBeauty Foundation 1,VivaBeauty,Beauty,Makeup,3,880.12,0,2640.36,1509.12,1131.24,True,2025-04-21
33,14,2025-03-30,Completed,Net Banking,Standard,NONE,320,Avni Gupta,Male,45-54,Silver,19,Nagpur Civil Lines,Nagpur,Maharashtra,Central,21.1458,79.0882,14,Orbit Power Bank 2,Orbit,Technology,Accessories,1,1400.52,0.05,1330.49,927.4,403.09,False,
34,14,2025-03-30,Completed,Net Banking,Standard,NONE,320,Avni Gupta,Male,45-54,Silver,19,Nagpur Civil Lines,Nagpur,Maharashtra,Central,21.1458,79.0882,51,ModeX Flip Flops 3,ModeX,Fashion,Footwear,1,411.38,0.05,390.81,281.05,109.76,False,
35,15,2024-07-22,Completed,Net Banking,Standard,FESTIVE10,173,Kiara Chopra,Non-binary,45-54,Gold,17,Indore Vijay Nagar,Indore,Madhya Pradesh,Central,22.7533,75.8937,55,GlowUp Face Mask 1,GlowUp,Beauty,Skincare,2,253.01,0.1,455.42,325.54,129.88,False,
36,16,2025-11-13,Completed,Net Banking,Store Pickup,NONE,410,Ravi Patel,Female,18-24,Gold,6,Chennai T Nagar,Chennai,Tamil Nadu,South,13.0418,80.2341,59,HerbalRay Sunscreen 5,HerbalRay,Beauty,Skincare,1,1858.53,0.1,1672.68,1368.54,304.14,False,
37,17,2024-02-24,Completed,UPI,Standard,NONE,31,Riya Saxena,Male,25-34,Gold,9,Kolkata Park Street,Kolkata,West Bengal,East,22.5531,88.3525,87,FreshKart Sparkling Water 3,FreshKart,Grocery,Beverages,1,605.72,0,605.72,384.28,221.44,False,
38,18,2025-05-19,Completed,Wallet,Express,NONE,677,Arjun Khan,Male,18-24,Standard,20,Raipur Magneto Mall,Raipur,Chhattisgarh,Central,21.2514,81.6296,34,Homely Planter 4,Homely,Home,Decor,1,13830.88,0.1,12447.79,9231.07,3216.72,False,
39,18,2025-05-19,Completed,Wallet,Express,NONE,677,Arjun Khan,Male,18-24,Standard,20,Raipur Magneto Mall,Raipur,Chhattisgarh,Central,21.2514,81.6296,5,Orbit Budget Phone 5,Orbit,Technology,Phones,4,778.24,0.15,2646.02,2261.64,384.38,False,
40,19,2024-02-06,Completed,Debit Card,Store Pickup,FESTIVE10,386,Rahul Reddy,Female,18-24,Silver,10,Bhubaneswar Esplanade,Bhubaneswar,Odisha,East,20.2961,85.8245,56,VivaBeauty Face Wash 2,VivaBeauty,Beauty,Skincare,1,591.97,0.2,473.58,405.65,67.93,False,
41,20,2025-12-02,Completed,Cash on Delivery,Standard,NONE,503,Meera Malhotra,Female,18-24,Silver,3,Jaipur Pink City,Jaipur,Rajasthan,North,26.9124,75.7873,51,ModeX Flip Flops 3,ModeX,Fashion,Footwear,1,413.9,0.15,351.81,281.05,70.76,False,
42,20,2025-12-02,Completed,Cash on Delivery,Standard,NONE,503,Meera Malhotra,Female,18-24,Silver,3,Jaipur Pink City,Jaipur,Rajasthan,North,26.9124,75.7873,42,NorthThread Polo Shirt 6,NorthThread,Fashion,Menswear,1,405.84,0,405.84,239.71,166.13,False,
43,21,2025-10-02,Completed,Debit Card,Express,NONE,598,Priya Patel,Non-binary,35-44,Silver,1,Delhi Connaught Place,Delhi,Delhi,North,28.6315,77.2167,8,Orbit Business Laptop 2,Orbit,Technology,Laptops,1,743.22,0.05,706.06,558.44,147.62,False,
44,21,2025-10-02,Completed,Debit Card,Express,NONE,598,Priya Patel,Non-binary,35-44,Silver,1,Delhi Connaught Place,Delhi,Delhi,North,28.6315,77.2167,89,TastyCo Juice 5,TastyCo,Grocery,Beverages,1,392.86,0.1,353.57,293.03,60.54,False,
45,22,2025-03-08,Completed,Debit Card,Standard,CLEARANCE15,39,Myra Agarwal,Female,35-44,Platinum,14,Pune Koregaon Park,Pune,Maharashtra,West,18.5362,73.8937,76,TrailGo Water Bottle 4,TrailGo,Sports,Outdoor,1,4657.7,0.1,4191.93,3615.43,576.5,False,
46,22,2025-03-08,Completed,Debit Card,Standard,CLEARANCE15,39,Myra Agarwal,Female,35-44,Platinum,14,Pune Koregaon Park,Pune,Maharashtra,West,18.5362,73.8937,63,VivaBeauty Kajal 3,VivaBeauty,Beauty,Makeup,1,914.62,0.2,731.7,696.87,34.83,False,
47,23,2025-09-21,Completed,Credit Card,Express,LOYALTY20,684,Aarav Khan,Non-binary,35-44,Standard,13,Mumbai Bandra,Mumbai,Maharashtra,West,19.0596,72.8295,10,Orbit Gaming Laptop 4,Orbit,Technology,Laptops,2,954.72,0.15000000000000002,1623.02,986.5,636.52,False,
48,23,2025-09-21,Completed,Credit Card,Express,LOYALTY20,684,Aarav Khan,Non-binary,35-44,Standard,13,Mumbai Bandra,Mumbai,Maharashtra,West,19.0596,72.8295,74,ActivePro Water Bottle 2,ActivePro,Sports,Outdoor,1,3461.85,0.05,3288.76,1941.45,1347.31,False,
49,24,2024-03-09,Completed,Net Banking,Standard,NONE,607,Ishaan Reddy,Female,55+,Gold,5,Bengaluru Indiranagar,Bengaluru,Karnataka,South,12.9784,77.6408,10,Orbit Gaming Laptop 4,Orbit,Technology,Laptops,1,970.98,0,970.98,493.25,477.73,False,
50,25,2025-02-28,Completed,Net Banking,Store Pickup,FESTIVE10,553,Krishna Nair,Female,25-34,Standard,13,Mumbai Bandra,Mumbai,Maharashtra,West,19.0596,72.8295,24,CasaCraft Dinner Set 6,CasaCraft,Home,Kitchen,2,2362.94,0.1,4253.29,3551.48,701.81,False,
51,25,2025-02-28,Completed,Net Banking,Store Pickup,FESTIVE10,553,Krishna Nair,Female,25-34,Standard,13,Mumbai Bandra,Mumbai,Maharashtra,West,19.0596,72.8295,60,HerbalRay Face Mask 6,HerbalRay,Beauty,Skincare,1,905.47,0.15000000000000002,769.65,700.17,69.48,False,
52,25,2025-02-28,Completed,Net Banking,Store Pickup,FESTIVE10,553,Krishna Nair,Female,25-34,Standard,13,Mumbai Bandra,Mumbai,Maharashtra,West,19.0596,72.8295,8,Orbit Business Laptop 2,Orbit,Technology,Laptops,1,806.65,0.05,766.32,558.44,207.88,False,
53,26,2025-02-24,Completed,UPI,Store Pickup,WELCOME5,308,Neha Das,Female,35-44,Silver,8,Kochi Lulu Mall,Kochi,Kerala,South,10.0261,76.3125,53,NorthThread Flip Flops 5,NorthThread,Fashion,Footwear,1,395.87,0.05,376.08,293.43,82.65,False,
54,27,2024-06-02,Completed,Debit Card,Express,NONE,416,Aditya Khan,Male,18-24,Standard,9,Kolkata Park Street,Kolkata,West Bengal,East,22.5531,88.3525,56,VivaBeauty Face Wash 2,VivaBeauty,Beauty,Skincare,1,570.68,0.15,485.08,405.65,79.43,False,
55,27,2024-06-02,Completed,Debit Card,Express,NONE,416,Aditya Khan,Male,18-24,Standard,9,Kolkata Park Street,Kolkata,West Bengal,East,22.5531,88.3525,4,Orbit 5G Phone 4,Orbit,Technology,Phones,1,32938.2,0.1,29644.38,21204.35,8440.03,False,
56,28,2025-05-12,Completed,UPI,Express,NONE,44,Nisha Mehta,Male,45-54,Standard,20,Raipur Magneto Mall,Raipur,Chhattisgarh,Central,21.2514,81.6296,9,ApexDigital Ultrabook 3,ApexDigital,Technology,Laptops,3,34960.21,0,104880.63,59633.4,45247.23,False,
57,28,2025-05-12,Completed,UPI,Express,NONE,44,Nisha Mehta,Male,45-54,Standard,20,Raipur Magneto Mall,Raipur,Chhattisgarh,Central,21.2514,81.6296,12,ZenMobile Student Laptop 6,ZenMobile,Technology,Laptops,1,7585.65,0.15,6447.8,4229.84,2217.96,False,
58,29,2024-05-03,Completed,Cash on Delivery,Express,WELCOME5,585,Sara Gupta,Male,35-44,Standard,11,Guwahati GS Road,Guwahati,Assam,East,26.1445,91.7362,12,ZenMobile Student Laptop 6,ZenMobile,Technology,Laptops,1,7919.96,0.1,7127.96,4229.84,2898.12,False,
59,29,2024-05-03,Completed,Cash on Delivery,Express,WELCOME5,585,Sara Gupta,Male,35-44,Standard,11,Guwahati GS Road,Guwahati,Assam,East,26.1445,91.7362,50,Aurelia Sneakers 2,Aurelia,Fashion,Footwear,2,931.88,0.2,1491.01,1089.52,401.49,False,
60,30,2025-03-26,Completed,UPI,Express,CLEARANCE15,220,Ishaan Agarwal,Female,35-44,Gold,12,Patna Frazer Road,Patna,Bihar,East,25.5941,85.1376,90,TastyCo Juice 6,TastyCo,Grocery,Beverages,3,378.88,0.1,1022.98,721.2,301.78,False,
61,30,2025-03-26,Completed,UPI,Express,CLEARANCE15,220,Ishaan Agarwal,Female,35-44,Gold,12,Patna Frazer Road,Patna,Bihar,East,25.5941,85.1376,36,Decora Cushion Set 6,Decora,Home,Decor,2,288.27,0.30000000000000004,403.58,299.78,103.8,False,
62,31,2025-09-12,Completed,UPI,Store Pickup,WELCOME5,316,Avni Agarwal,Male,25-34,Gold,1,Delhi Connaught Place,Delhi,Delhi,North,28.6315,77.2167,86,NatureBox Sparkling Water 2,NatureBox,Grocery,Beverages,1,99.4,0.15000000000000002,84.49,55.09,29.4,False,
63,31,2025-09-12,Completed,UPI,Store Pickup,WELCOME5,316,Avni Agarwal,Male,25-34,Gold,1,Delhi Connaught Place,Delhi,Delhi,North,28.6315,77.2167,88,SipWell Energy Drink 4,SipWell,Grocery,Beverages,1,50.43,0.25,37.82,37.47,0.35,False,
64,31,2025-09-12,Completed,UPI,Store Pickup,WELCOME5,316,Avni Agarwal,Male,25-34,Gold,1,Delhi Connaught Place,Delhi,Delhi,North,28.6315,77.2167,51,ModeX Flip Flops 3,ModeX,Fashion,Footwear,3,406.47,0.30000000000000004,853.59,843.15,10.44,False,
65,31,2025-09-12,Completed,UPI,Store Pickup,WELCOME5,316,Avni Agarwal,Male,25-34,Gold,1,Delhi Connaught Place,Delhi,Delhi,North,28.6315,77.2167,31,CasaCraft Planter 1,CasaCraft,Home,Decor,1,496.89,0.2,397.51,385.92,11.59,False,
66,32,2024-02-04,Completed,Net Banking,Express,NONE,660,Pooja Das,Female,18-24,Standard,14,Pune Koregaon Park,Pune,Maharashtra,West,18.5362,73.8937,43,NorthThread Dress 1,NorthThread,Fashion,Womenswear,2,712.23,0.15,1210.79,750.82,459.97,False,
67,32,2024-02-04,Completed,Net Banking,Express,NONE,660,Pooja Das,Female,18-24,Standard,14,Pune Koregaon Park,Pune,Maharashtra,West,18.5362,73.8937,90,TastyCo Juice 6,TastyCo,Grocery,Beverages,1,402.0,0,402.0,240.4,161.6,False,
68,32,2024-02-04,Completed,Net Banking,Express,NONE,660,Pooja Das,Female,18-24,Standard,14,Pune Koregaon Park,Pune,Maharashtra,West,18.5362,73.8937,71,FitMax Yoga Mat 5,FitMax,Sports,Fitness,2,3240.96,0.05,6157.82,5256.74,901.08,False,
69,33,2025-03-30,Completed,Net Banking,Standard,NONE,657,Pooja Gupta,Female,55+,Gold,9,Kolkata Park Street,Kolkata,West Bengal,East,22.5531,88.3525,41,NorthThread Jacket 5,NorthThread,Fashion,Menswear,1,1004.62,0,1004.62,606.47,398.15,False,
70,33,2025-03-30,Completed,Net Banking,Standard,NONE,657,Pooja Gupta,Female,55+,Gold,9,Kolkata Park Street,Kolkata,West Bengal,East,22.5531,88.3525,84,DailyBite Sauce 6,DailyBite,Grocery,Packaged Food,2,151.25,0.15,257.12,146.46,110.66,False,
71,34,2024-05-16,Completed,Debit Card,Express,FESTIVE10,328,Arjun Kapoor,Female,25-34,Platinum,6,Chennai T Nagar,Chennai,Tamil Nadu,South,13.0418,80.2341,54,ModeX Running Shoes 6,ModeX,Fashion,Footwear,1,3077.34,0.1,2769.61,2214.9,554.71,False,
72,35,2024-01-24,Completed,Wallet,Standard,FESTIVE10,230,Riya Singh,Female,55+,Platinum,9,Kolkata Park Street,Kolkata,West Bengal,East,22.5531,88.3525,60,HerbalRay Face Mask 6,HerbalRay,Beauty,Skincare,1,893.75,0.15000000000000002,759.69,700.17,59.52,False,
73,35,2024-01-24,Completed,Wallet,Standard,FESTIVE10,230,Riya Singh,Female,55+,Platinum,9,Kolkata Park Street,Kolkata,West Bengal,East,22.5531,88.3525,77,FitMax Water Bottle 5,FitMax,Sports,Outdoor,1,3457.25,0.1,3111.53,2649.95,461.58,False,
74,35,2024-01-24,Completed,Wallet,Standard,FESTIVE10,230,Riya Singh,Female,55+,Platinum,9,Kolkata Park Street,Kolkata,West Bengal,East,22.5531,88.3525,2,NovaTech Foldable Phone 2,NovaTech,Technology,Phones,2,978.32,0.1,1760.98,1312.98,448.0,False,
75,35,2024-01-24,Completed,Wallet,Standard,FESTIVE10,230,Riya Singh,Female,55+,Platinum,9,Kolkata Park Street,Kolkata,West Bengal,East,22.5531,88.3525,29,CasaCraft Office Chair 5,CasaCraft,Home,Furniture,2,3916.22,0.1,7049.2,5947.44,1101.76,False,
76,36,2024-07-30,Completed,Debit Card,Store Pickup,LOYALTY20,134,Anjali Mehta,Female,18-24,Platinum,18,Bhopal DB Mall,Bhopal,Madhya Pradesh,Central,23.2599,77.4126,54,ModeX Running Shoes 6,ModeX,Fashion,Footwear,1,2853.3,0.15000000000000002,2425.31,2214.9,210.41,False,
77,36,2024-07-30,Completed,Debit Card,Store Pickup,LOYALTY20,134,Anjali Mehta,Female,18-24,Platinum,18,Bhopal DB Mall,Bhopal,Madhya Pradesh,Central,23.2599,77.4126,80,NatureBox Cookies 2,NatureBox,Grocery,Packaged Food,1,145.46,0.1,130.91,108.2,22.71,False,
78,37,2025-02-11,Completed,Wallet,Express,FESTIVE10,332,Aditya Iyer,Male,55+,Platinum,12,Patna Frazer Road,Patna,Bihar,East,25.5941,85.1376,33,UrbanNest Mirror 3,UrbanNest,Home,Decor,1,1231.69,0.1,1108.52,901.36,207.16,False,
79,37,2025-02-11,Completed,Wallet,Express,FESTIVE10,332,Aditya Iyer,Male,55+,Platinum,12,Patna Frazer Road,Patna,Bihar,East,25.5941,85.1376,46,NorthThread Jeans 4,NorthThread,Fashion,Womenswear,4,3976.44,0.25,11929.32,7748.92,4180.4,True,2025-02-28
80,37,2025-02-11,Completed,Wallet,Express,FESTIVE10,332,Aditya Iyer,Male,55+,Platinum,12,Patna Frazer Road,Patna,Bihar,East,25.5941,85.1376,39,ModeX Denim Jeans 3,ModeX,Fashion,Menswear,4,2960.45,0.15000000000000002,10065.53,9124.8,940.73,False,
81,38,2024-06-22,Completed,Net Banking,Standard,LOYALTY20,595,Aditya Nair,Male,35-44,Standard,17,Indore Vijay Nagar,Indore,Madhya Pradesh,Central,22.7533,75.8937,68,FitMax Protein Shaker 2,FitMax,Sports,Fitness,1,4675.79,0.1,4208.21,2814.46,1393.75,False,
82,39,2025-03-16,Completed,Cash on Delivery,Express,CLEARANCE15,288,Kiara Khan,Prefer not to say,35-44,Standard,20,Raipur Magneto Mall,Raipur,Chhattisgarh,Central,21.2514,81.6296,56,VivaBeauty Face Wash 2,VivaBeauty,Beauty,Skincare,2,561.95,0.1,1011.51,811.3,200.21,False,
83,39,2025-03-16,Completed,Cash on Delivery,Express,CLEARANCE15,288,Kiara Khan,Prefer not to say,35-44,Standard,20,Raipur Magneto Mall,Raipur,Chhattisgarh,Central,21.2514,81.6296,85,SipWell Juice 1,SipWell,Grocery,Beverages,1,188.57,0.05,179.14,131.71,47.43,False,
84,40,2024-06-16,Completed,Net Banking,Standard,NONE,37,Anika Mishra,Male,35-44,Standard,2,Gurugram Cyber Hub,Gurugram,Haryana,North,28.495,77.0888,72,ActivePro Skipping Rope 6,ActivePro,Sports,Fitness,1,2559.04,0.05,2431.09,1310.55,1120.54,False,
85,40,2024-06-16,Completed,Net Banking,Standard,NONE,37,Anika Mishra,Male,35-44,Standard,2,Gurugram Cyber Hub,Gurugram,Haryana,North,28.495,77.0888,16,ByteWave Wireless Earbuds 4,ByteWave,Technology,Accessories,1,8160.54,0,8160.54,4802.2,3358.34,False,
86,41,2025-07-30,Completed,Cash on Delivery,Standard,FESTIVE10,521,Sara Singh,Female,25-34,Platinum,16,Surat VR Mall,Surat,Gujarat,West,21.1702,72.8311,74,ActivePro Water Bottle 2,ActivePro,Sports,Outdoor,1,3503.3,0.25,2627.48,1941.45,686.03,False,
87,41,2025-07-30,Completed,Cash on Delivery,Standard,FESTIVE10,521,Sara Singh,Female,25-34,Platinum,16,Surat VR Mall,Surat,Gujarat,West,21.1702,72.8311,43,NorthThread Dress 1,NorthThread,Fashion,Womenswear,1,692.6,0.15000000000000002,588.71,375.41,213.3,False,
88,42,2024-06-06,Completed,Wallet,Store Pickup,NONE,109,Aadhya Khan,Female,18-24,Platinum,8,Kochi Lulu Mall,Kochi,Kerala,South,10.0261,76.3125,81,DailyBite Breakfast Cereal 3,DailyBite,Grocery,Packaged Food,3,398.5,0.05,1135.72,643.92,491.8,True,2024-06-08
89,42,2024-06-06,Completed,Wallet,Store Pickup,NONE,109,Aadhya Khan,Female,18-24,Platinum,8,Kochi Lulu Mall,Kochi,Kerala,South,10.0261,76.3125,58,LuxeLook Serum 4,LuxeLook,Beauty,Skincare,1,257.69,0.1,231.92,169.7,62.22,False,
90,43,2024-02-19,Completed,UPI,Store Pickup,NONE,583,Anjali Chopra,Male,35-44,Silver,9,Kolkata Park Street,Kolkata,West Bengal,East,22.5531,88.3525,78,TrailGo Tent 6,TrailGo,Sports,Outdoor,1,516.87,0,516.87,357.39,159.48,False,
91,44,2024-08-01,Completed,Debit Card,Store Pickup,WELCOME5,409,Ayaan Sharma,Female,18-24,Gold,1,Delhi Connaught Place,Delhi,Delhi,North,28.6315,77.2167,84,DailyBite Sauce 6,DailyBite,Grocery,Packaged Food,1,153.56,0.1,138.2,73.23,64.97,False,
92,44,2024-08-01,Completed,Debit Card,Store Pickup,WELCOME5,409,Ayaan Sharma,Female,18-24,Gold,1,Delhi Connaught Place,Delhi,Delhi,North,28.6315,77.2167,88,SipWell Energy Drink 4,SipWell,Grocery,Beverages,1,48.09,0.05,45.69,37.47,8.22,False,
